ID,Name,Cases,Cases_Percentage,Cases_Percentage_mapped,testing,population,pop_density,pop_density_corrected,ethnicity_Latin_American,ethnicity_South_Asian,ethnicity_Chinese,ethnicity_Black,ethnicity_Filipino,ethnicity_Arab,ethnicity_Southeast_Asian,ethnicity_West_Asian,ethnicity_Korean,ethnicity_Japanese,ethnicity_Not_visible_minority,ethnicity_visible_minority_percentage,ethnicity_visible_minority_percentage_mapped,ethnicity_not_visible_minority_percentage,Median_Household_income,Median_Household_income_corrected,Median_Household_income_corrected_inverted,Poverty_percentage,Poverty_percentage_mapped,Edu_No_Education,Edu_Secondary_school_diploma,Edu_College,Edu_University,Edu_highschool_or_below_percentage,Edu_highschool_or_below_percentage_mapped,house_Single-detached_houses,house_Apartments_greater_than_5_story,house_Semi-detached_house,house_Row_house,house_Apartment_or_flat_in_a_duplex,house_Apartment_in_fewer_than_five_storeys,house_Other_single-attached_house,house_Movable_dwelling,average_household_size,average_household_size_corrected,apartments_percentage,apartments_percentage_mapped
129,Agincourt North,1397,0.055902361,0.233463838,0.140709961,"24,990","3,929",0.066749844,170,"5,315","16,460","1,340","1,420",275,260,125,70,60,"2,465",0.91184,0.93818,0.08816,60162,0.158581772,0.841418228,0.192,0.396011396,6550,7460,3540,5805,0.599871548,0.743457596,0.3666,0.2323,0.0882,0.1578,0.0707,0.0805,0.0016,0.0005,3.16,0.852631579,0.3835,0.353337545
128,Agincourt South-Malvern West,1237,0.060652121,0.265028913,0.159126332,"20,395","3,034",0.046071024,230,"4,190","11,110","1,545","1,280",300,155,375,140,40,"3,320",0.85365,0.86994,0.14635,59013,0.152071931,0.847928069,0.222,0.481481481,4035,6090,3150,5765,0.53177521,0.625063347,0.343,0.3866,0.0406,0.0633,0.0854,0.075,0.008,0,2.88,0.705263158,0.547,0.525479048
20,Alderwood,499,0.048611788,0.1850135,0.213504724,"10,265","2,435",0.032231233,180,540,275,300,615,90,55,20,65,35,"9,535",0.18574,0.08665,0.81426,71585,0.223300586,0.776699414,0.079,0.074074074,2005,2960,2095,2290,0.531016043,0.623743437,0.6147,0.0552,0.118,0.0184,0.0714,0.1212,0,0,2.6,0.557894737,0.2478,0.210465361
95,Annex,951,0.036166572,0.10230739,0.249195319,"26,295","10,863",0.226958712,405,"1,125","2,145",935,350,300,190,340,605,255,"21,380",0.23725,0.14706,0.76275,57825,0.145341129,0.854658871,0.201,0.421652422,1585,4270,2700,16590,0.232849473,0.105342473,0.0405,0.5124,0.0744,0.0373,0.0286,0.3009,0.0056,0,1.8,0.136842105,0.8419,0.835965466
42,Banbury-Don Mills,903,0.038614496,0.11857535,0.201276779,"23,385","2,775",0.040086874,350,"2,825","4,630",970,"1,135",550,110,755,560,210,"14,290",0.4584,0.40642,0.5416,70039,0.214541478,0.785458522,0.14,0.247863248,2295,5150,3490,10850,0.34174891,0.294678162,0.2874,0.5171,0.0235,0.061,0.0033,0.1085,0,0,2.23,0.363157895,0.6289,0.611707728
34,Bathurst Manor,1541,0.116170373,0.633981821,0.261711054,"13,265","3,377",0.05399598,575,550,655,550,"1,950",155,150,270,305,35,"10,165",0.33822,0.26547,0.66178,56563,0.138191069,0.861808931,0.151,0.279202279,1665,3390,2125,4980,0.415707237,0.423264234,0.3462,0.338,0.0271,0.0074,0.1053,0.176,0.0025,0,2.56,0.536842105,0.6193,0.601600337
76,Bay Street Corridor,673,0.028111947,0.048779456,0.152788887,"23,940","14,097",0.301679721,460,"2,420","7,435",775,380,"1,310",340,615,"1,340",335,"9,675",0.61431,0.58926,0.38569,50363,0.103063988,0.896936012,0.397,0.98005698,700,5740,1595,15090,0.278486486,0.184688296,0.0003,0.9818,0,0.001,0,0.0159,0.0007,0,1.7,0.084210526,0.9977,1
52,Bayview Village,545,0.029105474,0.055382054,0.147968076,"18,725","4,195",0.072895728,410,"1,360","5,860",755,765,355,200,"2,440","1,655",180,"6,635",0.67815,0.66412,0.32185,67186,0.198377355,0.801622645,0.247,0.552706553,1310,3680,2905,9790,0.282160023,0.191075211,0.2124,0.6188,0.0126,0.0923,0.0079,0.0545,0.0005,0,2.22,0.357894737,0.6812,0.666771952
49,Bayview Woods-Steeles,643,0.057668161,0.245198665,0.165473819,"11,150","3,240",0.050830619,150,670,"4,360",530,175,130,135,"1,015",710,70,"4,405",0.64332,0.62328,0.35668,70294,0.215986221,0.784013779,0.197,0.41025641,1295,2385,1595,5120,0.354016354,0.316006693,0.333,0.3777,0.1053,0.0426,0.0213,0.1213,0,0,2.7,0.610526316,0.5203,0.497367867
39,Bedford Park-Nortown,1119,0.060307195,0.262736668,0.258173457,"18,555","4,209",0.073219195,345,455,"1,030",315,"1,790",90,75,305,195,65,"18,270",0.2034,0.10737,0.7966,90934,0.332925406,0.667074594,0.096,0.122507123,1985,3815,2135,9625,0.330296128,0.274766026,0.5598,0.2317,0.0052,0.0075,0.0366,0.1463,0.0134,0,2.68,0.6,0.4146,0.38608128
